state,admin1_pcode,district,township,admin3_pcode,population_2021_proj,population_density,fs_pin,fs_targeted,conflict_score
Sagaing,MMR005,Kale,Kale,MMR005027,366088.59478020685,149.15697249124554,56195,5620.500044487943,0.6108640843380558
Shan (North),MMR222,Muse,Muse,MMR015009,190888.05915305082,96.75110953001968,71329,17832.644545071726,0.5957044863219239
Sagaing,MMR005,Monywa,Monywa,MMR005012,390792.56188729784,552.1899031367298,59752,5974.781736716537,0.4491456393528521
Mandalay,MMR010,Mandalay,Chanayethazan,MMR010002,210020.72620513552,16220.071930996817,24782,2477.755454915075,0.4332886792371201
Mandalay,MMR010,Myingyan,Myingyan,MMR010017,294083.33927898115,279.32558084224723,34702,3469.816606201124,0.337270425971753
Mandalay,MMR010,Pyinoolwin,Mogoke,MMR010011,178038.56657518548,141.83107109160767,21009,2101.1449244088303,0.2931751797540419
Shan (North),MMR222,Kyaukme,Kyaukme,MMR015012,191221.37357631102,43.895629640204945,73689,18421.81763278474,0.27208753493746207
Magway,MMR009,Pakokku,Yesagyo,MMR009019,214105.97155217687,216.8788872678808,44962,4495.77460870406,0.26995692299446256
Shan (North),MMR222,Muse,Kutkai,MMR015011,194046.7688374802,42.892408878373764,74366,18591.573253793504,0.2621812052397704
Magway,MMR009,Pakokku,Pauk,MMR009021,170521.6185816712,69.60365230670028,35810,3581.04601037606,0.24340516487865616
Kayin,MMR003,Myawaddy,Myawaddy,MMR003005,218454.5912361622,67.0896661511683,67353,5000,0.2358326676956738
Mon,MMR011,Mawlamyine,Ye,MMR011006,253869.98090638287,96.9426980309231,61437,10000,0.22842025722716824
Yangon,MMR013,Yangon (East),Tamwe,MMR013015,192382.59220542855,33161.13445106529,53867.5,53866.87418277388,0.22726777214456867
Mandalay,MMR010,Mandalay,Mahaaungmyay,MMR010003,256821.2367566823,15974.92587613374,30305,3029.509485691361,0.21963015264402871
Yangon,MMR013,Yangon (North),Insein,MMR013001,355272.33125192724,10217.535787258495,99476.25,99475.74725010256,0.2176007824223431
Shan (North),MMR222,Lashio,Lashio,MMR015001,359318.5035149055,84.25130797408127,132229,40000,0.21486220402348732
Yangon,MMR013,Yangon (East),Thaketa,MMR013013,256671.4959286959,16400.60840215547,71867.5,71867.9811399701,0.21145178611651855
Mandalay,MMR010,Mandalay,Chanmyathazi,MMR010004,302269.0082577384,9389.493368411573,35668,3567.2257168409606,0.20906269830662952
Bago (East),MMR111,Bago,Bago,MMR007001,498305.6738756886,168.72215234247676,117102,17564.725000187475,0.20092025597253135
Magway,MMR009,Pakokku,Myaing,MMR009020,224464.6871322603,110.58710612410339,47138,4714.241582602502,0.19205110859803867
Yangon,MMR013,Yangon (West),Hlaing,MMR013040,186556.8721678007,15756.03592309973,52236.25,52236.07579312577,0.18856873546268987
Mon,MMR011,Thaton,Thaton,MMR011007,229296.140236455,192.68022920470952,55490,10000,0.1852094646399963
Sagaing,MMR005,Katha,Katha,MMR005020,176162.5379959527,74.3807331231189,26935,2694.4748777349478,0.18100745284833591
Magway,MMR009,Magway,Taungdwingyi,MMR009004,258356.4478971576,131.6823705759589,54255,5424.514637587847,0.17678362408489304
Yangon,MMR013,Yangon (East),Dagon Myothit (South),MMR013018,432502.10729209863,9908.877831721176,121100,121101.40995960019,0.17419418075540027
Mandalay,MMR010,Pyinoolwin,Madaya,MMR010009,274809.470681634,234.70233974895402,32428,3243.2482649609665,0.17357897741413278
Mon,MMR011,Thaton,Kyaikto,MMR011009,177704.36423321342,193.68650951761765,43004,10000,0.16296723966575533
Magway,MMR009,Magway,Magway,MMR009001,287573.41447282815,163.42058132727695,60390,6038.958296358604,0.15974018963908382
Magway,MMR009,Pakokku,Pakokku,MMR009018,288460.2533534726,220.2297772133342,60577,6058.334698067766,0.14593524846700845
Kayin,MMR003,Hpa-An,Hpa-An,MMR003001,437422.79044545017,145.4624394076633,134831,15000,0.1402039233534155
Shan (North),MMR222,Kyaukme,Hsipaw,MMR015014,195720.0072422465,33.553617765477064,72220,18055.779324188505,0.13892406381697212
Mon,MMR011,Mawlamyine,Mawlamyine,MMR011001,278680.7196406106,2082.624832369358,44000.17344512815,0,0.13752244119287266
Sagaing,MMR005,Monywa,Ayadaw,MMR005014,163596.30355856032,125.1034623408934,25014,2500.6125786130374,0.1349437904498207
Sagaing,MMR005,Sagaing,Sagaing,MMR005001,322630.3235904986,242.40491576393907,49330,4932.98235236441,0.13037574851322362
Yangon,MMR013,Yangon (East),Thingangyun,MMR013009,243788.8109873174,15966.138700133255,68261.25,68261.13292380996,0.12858644755105322
Yangon,MMR013,Yangon (East),Dagon Myothit (North),MMR013019,237343.97727409672,8435.84069391932,66456.25,66455.6863647331,0.12552662038942947
Bago (West),MMR111,Pyay,Pyay,MMR008001,255161.6996200912,320.0089060545159,59963,5995.700073931217,0.11382699676765004
Yangon,MMR013,Yangon (East),South Okkalapa,MMR013011,187509.9813789108,19606.87546613909,52502.5,52503.20521470707,0.11352282098197888
Yangon,MMR013,Yangon (West),Mayangone,MMR013042,230553.5105502536,7331.481312017441,64555,64555.017045933484,0.10822097914605744
