admin3_pcode,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,total_idps,fatalities,score_i,index_battles,index_explosions_remote_violence,index_violence_against_civilians,index_fatalities,index_strategic_developments,index_protests_and_riots,env_battles,env_explosions_remote_violence,env_violence_against_civilians,env_fatalities,score_env,admin1,admin3,partners,beneficiaries,old_conflict_score
MMR001001,12,23,20,32,14,13323,15,0.21617606396005867,0.07843137254901959,0.29870129870129863,0.2916666666666667,0.027777777777777776,0.3440860215053764,0.5714285714285715,0.0784313725490196,0.2987012987012987,0.2916666666666667,0.027777777777777776,0.1741442789236907,Kachin,Myitkyina,6,11081,0.25752871754408524
MMR001002,40,36,2,12,8,24514,13,0.1813382948596005,0.26143790849673193,0.46753246753246747,0.16666666666666669,0.024074074074074074,0.12903225806451615,0.05714285714285715,0.26143790849673204,0.4675324675324675,0.16666666666666666,0.024074074074074074,0.22992777919248505,Kachin,Waingmaw,10,15365,0.1692582037413074
MMR001003,9,1,0,1,0,0,0,0.010467951044607925,0.0588235294117647,0.012987012987012991,0,0,0.010752688172043019,0,0.058823529411764705,0.012987012987012988,0,0,0.017952635599694424,Kachin,Injangyang,2,641,0.016286323240568414
MMR001004,34,16,0,9,3,1226,51,0.07592961348003292,0.22222222222222218,0.20779220779220778,0.0625,0.09444444444444444,0.09677419354838711,0,0.2222222222222222,0.2077922077922078,0.0625,0.09444444444444444,0.14673971861471863,Kachin,Tanai,3,1926,0.11373356135653806
MMR001005,0,0,0,4,0,2719,0,0.011088817322836423,0,0,0,0,0.043010752688172046,0,0,0,0,0,0,Kachin,Chipwi,4,960,0.004790880759903989
MMR001007,18,18,8,18,13,345,102,0.1311428960153703,0.1176470588235294,0.23376623376623376,0.27083333333333337,0.18888888888888888,0.19354838709677422,0.2285714285714286,0.11764705882352941,0.23376623376623376,0.2708333333333333,0.18888888888888888,0.20278387870299636,Kachin,Mohnyin,2,2438,0.19701949455271053
MMR001008,12,4,6,8,5,1571,4,0.06280826587037622,0.07843137254901959,0.051948051948051945,0.10416666666666666,0.00740740740740741,0.08602150537634409,0.17142857142857143,0.0784313725490196,0.05194805194805195,0.10416666666666667,0.007407407407407408,0.06048837464278642,Kachin,Mogaung,4,1563,0.08506374755679742
MMR001009,77,66,10,24,14,3840,145,0.2719865119096386,0.503267973856209,0.8571428571428571,0.2916666666666667,0.2685185185185185,0.25806451612903225,0.2857142857142857,0.5032679738562091,0.8571428571428571,0.2916666666666667,0.26851851851851855,0.4801490040460629,Kachin,Hpakant,3,3822,0.4005326391057958
MMR001010,8,12,1,23,6,7230,20,0.07708873426879786,0.05228758169934639,0.1558441558441558,0.125,0.037037037037037035,0.24731182795698928,0.028571428571428574,0.05228758169934641,0.15584415584415584,0.125,0.037037037037037035,0.09254219364513482,Kachin,Bhamo,9,11072,0.08732515786341417
MMR001011,32,13,1,9,6,2029,120,0.09892299116971527,0.20915032679738557,0.1688311688311688,0.125,0.2222222222222222,0.09677419354838711,0.028571428571428574,0.20915032679738563,0.16883116883116883,0.125,0.2222222222222222,0.18130092946269416,Kachin,Shwegu,4,1453,0.1450541265872452
MMR001012,105,77,0,12,8,23485,138,0.30225627488176576,0.6862745098039214,1,0.16666666666666669,0.2555555555555556,0.12903225806451615,0,0.6862745098039216,1,0.16666666666666666,0.25555555555555554,0.527124183006536,Kachin,Momauk,11,NA,0.3663404894849675
MMR001013,20,15,0,1,0,13727,4,0.07688980196489188,0.130718954248366,0.19480519480519476,0,0.00740740740740741,0.010752688172043019,0,0.13071895424836602,0.19480519480519481,0,0.007407407407407408,0.08323288911524207,Kachin,Mansi,8,13105,0.05675526881949739
MMR001014,12,2,0,16,5,1452,28,0.04425715897642239,0.07843137254901959,0.025974025974025983,0.10416666666666666,0.05185185185185185,0.17204301075268819,0,0.0784313725490196,0.025974025974025976,0.10416666666666667,0.05185185185185185,0.06510597926039104,Kachin,Puta-O,3,1560,0.06312482029995413
MMR001015,11,0,0,1,1,1157,18,0.020641941593805845,0.07189542483660129,0,0.020833333333333336,0.03333333333333333,0.010752688172043019,0,0.0718954248366013,0,0.020833333333333332,0.03333333333333333,0.03151552287581699,Kachin,Sumprabum,1,1698,0.026808630777613578
MMR001016,1,0,0,1,0,0,0,0.0017174750163184678,0.006535947712418299,0,0,0,0.010752688172043019,0,0.006535947712418301,0,0,0,0.0016339869281045752,Kachin,Machanbaw,NA,NA,0.0026955388323867324
MMR001017,0,0,0,5,1,0,0,0.005290683222681099,0,0,0.020833333333333336,0,0.05376344086021506,0,0,0,0.020833333333333332,0,0.005208333333333333,Kachin,Nawngmun,NA,NA,0.008474096105586013
MMR001018,0,0,0,0,1,0,0,0.0015498438186860124,0,0,0.020833333333333336,0,0,0,0,0,0.020833333333333332,0,0.005208333333333333,Kachin,Khaunglanhpu,NA,NA,0.0024854951557060257
MMR002001,29,25,11,30,15,24133,56,0.23477956910410333,0.18954248366013068,0.3246753246753246,0.3125,0.1037037037037037,0.3225806451612903,0.3142857142857143,0.1895424836601307,0.3246753246753247,0.3125,0.1037037037037037,0.23260537800978978,Kayah,Loikaw,5,9709,0.24568889085516094
MMR002002,90,24,1,22,20,56024,387,0.4211401626308102,0.5882352941176469,0.3116883116883116,0.41666666666666674,0.7166666666666668,0.23655913978494625,0.028571428571428574,0.5882352941176471,0.3116883116883117,0.4166666666666667,0.7166666666666667,0.5083142347848231,Kayah,Demoso,5,4396,0.3986184108747939
MMR002003,13,7,0,5,4,11773,88,0.08528036280478479,0.0849673202614379,0.0909090909090909,0.08333333333333334,0.16296296296296295,0.05376344086021506,0,0.08496732026143791,0.09090909090909091,0.08333333333333333,0.16296296296296298,0.10554317686670628,Kayah,Hpruso,2,3637,0.07916809925944682
MMR002004,3,0,0,0,0,153,7,0.00501100400567101,0.019607843137254898,0,0,0.012962962962962963,0,0,0.0196078431372549,0,0,0.012962962962962963,0.008142701525054466,Kayah,Shadaw,1,4,0.007079337736004112
MMR002005,11,2,0,5,2,130,24,0.02553062898694831,0.07189542483660129,0.025974025974025983,0.04166666666666667,0.044444444444444446,0.05376344086021506,0,0.0718954248366013,0.025974025974025976,0.041666666666666664,0.044444444444444446,0.0459951404804346,Kayah,Bawlake,NA,NA,0.039517947352819695
MMR002006,4,0,0,0,0,120,0,0.004234542810542988,0.026143790849673196,0,0,0,0,0,0.026143790849673203,0,0,0,0.006535947712418301,Kayah,Hpasawng,NA,NA,0.005991274569642938
MMR003001,21,13,5,23,6,1077,39,0.09539537499490783,0.13725490196078427,0.1688311688311688,0.125,0.07222222222222223,0.24731182795698928,0.14285714285714285,0.13725490196078433,0.16883116883116883,0.125,0.07222222222222222,0.12582707325354384,Kayin,Hpa-An,1,7865,0.1402039233534155
MMR003002,1,4,0,3,1,8634,9,0.036574715155118946,0.006535947712418299,0.051948051948051945,0.020833333333333336,0.016666666666666673,0.03225806451612904,0,0.006535947712418301,0.05194805194805195,0.020833333333333332,0.016666666666666666,0.023995999915117562,Kayin,Hlaingbwe,3,13503,0.017334120626334704
MMR003003,56,42,0,26,8,52667,280,0.35068764177622197,0.36601307189542476,0.5454545454545454,0.16666666666666669,0.5185185185185185,0.2795698924731183,0,0.3660130718954248,0.5454545454545454,0.16666666666666666,0.5185185185185185,0.39916320063378885,Kayin,Hpapun,NA,NA,0.3058836838045253
