state,admin1_pcode,district,township,admin3_pcode,population_2021_proj,population_density,fs_pin,fs_targeted,conflict_score
Sagaing,MMR005,Kale,Kale,MMR005027,366088.5948,149.1569725,56195,5620.500044,0.610864084
Shan (North),MMR222,Muse,Muse,MMR015009,190888.0592,96.75110953,71329,17832.64455,0.595704486
Sagaing,MMR005,Monywa,Monywa,MMR005012,390792.5619,552.1899031,59752,5974.781737,0.449145639
Mandalay,MMR010,Mandalay,Chanayethazan,MMR010002,210020.7262,16220.07193,24782,2477.755455,0.433288679
Mandalay,MMR010,Myingyan,Myingyan,MMR010017,294083.3393,279.3255808,34702,3469.816606,0.337270426
Mandalay,MMR010,Pyinoolwin,Mogoke,MMR010011,178038.5666,141.8310711,21009,2101.144924,0.29317518
Shan (North),MMR222,Kyaukme,Kyaukme,MMR015012,191221.3736,43.89562964,73689,18421.81763,0.272087535
Magway,MMR009,Pakokku,Yesagyo,MMR009019,214105.9716,216.8788873,44962,4495.774609,0.269956923
Shan (North),MMR222,Muse,Kutkai,MMR015011,194046.7688,42.89240888,74366,18591.57325,0.262181205
Magway,MMR009,Pakokku,Pauk,MMR009021,170521.6186,69.60365231,35810,3581.04601,0.243405165
Kayin,MMR003,Myawaddy,Myawaddy,MMR003005,218454.5912,67.08966615,67353,5000,0.235832668
Mon,MMR011,Mawlamyine,Ye,MMR011006,253869.9809,96.94269803,61437,10000,0.228420257
Yangon,MMR013,Yangon (East),Tamwe,MMR013015,192382.5922,33161.13445,53867.5,53866.87418,0.227267772
Mandalay,MMR010,Mandalay,Mahaaungmyay,MMR010003,256821.2368,15974.92588,30305,3029.509486,0.219630153
Yangon,MMR013,Yangon (North),Insein,MMR013001,355272.3313,10217.53579,99476.25,99475.74725,0.217600782
Shan (North),MMR222,Lashio,Lashio,MMR015001,359318.5035,84.25130797,132229,40000,0.214862204
Yangon,MMR013,Yangon (East),Thaketa,MMR013013,256671.4959,16400.6084,71867.5,71867.98114,0.211451786
Mandalay,MMR010,Mandalay,Chanmyathazi,MMR010004,302269.0083,9389.493368,35668,3567.225717,0.209062698
Bago (East),MMR111,Bago,Bago,MMR007001,498305.6739,168.7221523,117102,17564.725,0.200920256
Magway,MMR009,Pakokku,Myaing,MMR009020,224464.6871,110.5871061,47138,4714.241583,0.192051109
Yangon,MMR013,Yangon (West),Hlaing,MMR013040,186556.8722,15756.03592,52236.25,52236.07579,0.188568735
Mon,MMR011,Thaton,Thaton,MMR011007,229296.1402,192.6802292,55490,10000,0.185209465
Sagaing,MMR005,Katha,Katha,MMR005020,176162.538,74.38073312,26935,2694.474878,0.181007453
Magway,MMR009,Magway,Taungdwingyi,MMR009004,258356.4479,131.6823706,54255,5424.514638,0.176783624
Yangon,MMR013,Yangon (East),Dagon Myothit (South),MMR013018,432502.1073,9908.877832,121100,121101.41,0.174194181
Mandalay,MMR010,Pyinoolwin,Madaya,MMR010009,274809.4707,234.7023397,32428,3243.248265,0.173578977
Mon,MMR011,Thaton,Kyaikto,MMR011009,177704.3642,193.6865095,43004,10000,0.16296724
Magway,MMR009,Magway,Magway,MMR009001,287573.4145,163.4205813,60390,6038.958296,0.15974019
Magway,MMR009,Pakokku,Pakokku,MMR009018,288460.2534,220.2297772,60577,6058.334698,0.145935248
Kayin,MMR003,Hpa-An,Hpa-An,MMR003001,437422.7904,145.4624394,134831,15000,0.140203923
Shan (North),MMR222,Kyaukme,Hsipaw,MMR015014,195720.0072,33.55361777,72220,18055.77932,0.138924064
Mon,MMR011,Mawlamyine,Mawlamyine,MMR011001,278680.7196,2082.624832,44000.17345,0,0.137522441
Sagaing,MMR005,Monywa,Ayadaw,MMR005014,163596.3036,125.1034623,25014,2500.612579,0.13494379
Sagaing,MMR005,Sagaing,Sagaing,MMR005001,322630.3236,242.4049158,49330,4932.982352,0.130375749
Yangon,MMR013,Yangon (East),Thingangyun,MMR013009,243788.811,15966.1387,68261.25,68261.13292,0.128586448
Yangon,MMR013,Yangon (East),Dagon Myothit (North),MMR013019,237343.9773,8435.840694,66456.25,66455.68636,0.12552662
Bago (West),MMR111,Pyay,Pyay,MMR008001,255161.6996,320.0089061,59963,5995.700074,0.113826997
Yangon,MMR013,Yangon (East),South Okkalapa,MMR013011,187509.9814,19606.87547,52502.5,52503.20521,0.113522821
Yangon,MMR013,Yangon (West),Mayangone,MMR013042,230553.5106,7331.481312,64555,64555.01705,0.108220979
