state,admin1_pcode,township,admin3_pcode,population_2021_proj,population_density,fs_pin,fs_targeted,group,conflict_score,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,fatalities,flood_count,flood_prob,beneficiaries_2021,partners_2021,not_in_6months
Ayeyarwady,MMR017,Hinthada,MMR017008,338333.0329836413,334.2440733430459,102515,13327.061831061234,B2,0.01857545508785708,0,3,1,6,0,1,5,0.3333333333333333,0,0,1
Ayeyarwady,MMR017,Zalun,MMR017009,168152.32215033146,267.8101558840312,50950,6624.480065287993,B2,0.00789693467121052,1,1,0,4,0,0,4,0.26666666666666666,7842,1,0
Ayeyarwady,MMR017,Lemyethna,MMR017010,102992.95991876331,102.24544602489684,31207,4057.107311638337,B2,0.0028059554588718,0,1,0,1,0,0,3,0.2,0,0,1
Ayeyarwady,MMR017,Myanaung,MMR017011,218515.143772356,142.09033450575592,66210,8606.688498081088,B2,0.03536849910837723,0,1,2,11,3,2,5,0.3333333333333333,0,0,1
Ayeyarwady,MMR017,Kyangin,MMR017012,96054.05117132452,82.97201659317125,29104,3784.430973441061,B2,0.00809740607344962,0,2,0,2,1,0,2,0.13333333333333333,6315,1,1
Ayeyarwady,MMR017,Ingapu,MMR017013,214319.40828568256,127.48400230202388,64939,8441.9585078309,B2,0.01881179436833575,0,0,1,4,3,1,5,0.3333333333333333,0,0,1
Ayeyarwady,MMR017,Labutta,MMR017016,315123.0280291265,125.97449327238034,95482,12413.303933374356,B2,0.01751674105743676,0,2,1,2,2,2,3,0.2,2538,2,0
Ayeyarwady,MMR017,Mawlamyinegyun,MMR017018,311246.19643100415,255.03406057718703,94308,12260.01232259513,B2,0.03120799012717158,3,6,1,4,2,3,2,0.13333333333333333,2635,2,0
Ayeyarwady,MMR017,Maubin,MMR017019,313998.3669801612,223.16211072941744,95142,12367.604337309436,A2,0.08678996442647999,1,14,2,23,8,8,4,0.26666666666666666,8543,1,0
Ayeyarwady,MMR017,Pantanaw,MMR017020,264516.27992181526,198.25380423070325,80148,10418.703742303838,B2,0.01747506801880408,0,1,1,6,1,0,4,0.26666666666666666,8071,2,0
Ayeyarwady,MMR017,Nyaungdon,MMR017021,215840.9497225939,239.43105804301265,65400,8502.024990500482,B2,0.032464881630558363,0,7,1,6,3,1,4,0.26666666666666666,0,0,1
Ayeyarwady,MMR017,Danubyu,MMR017022,179298.96276896607,238.0697198396546,54328,7063.413880781774,B2,0.01627006948365911,0,3,1,2,1,1,4,0.26666666666666666,0,0,1
