state,admin1_pcode,township,admin3_pcode,total_population_2021proj,conflict_ranking,flood_ranking,vul_ranking,food_security_pin_2022,food_security_target_2022,beneficiaries_2022,"crop, vegetable and seed kits",food distribution,multi-purpose cash transfer,food_cash for work_assets,IGA and small grants,vocational training,livestock kits,FFS and farmer training
Ayeyarwady,MMR017,Hinthada,MMR017008,338333.0329836413,209,5,201,102515,13327.061831061234,0,NA,NA,NA,NA,NA,NA,NA,NA
Ayeyarwady,MMR017,Zalun,MMR017009,168152.32215033146,245,6,142,50950,6624.480065287993,0,NA,NA,NA,NA,NA,NA,NA,NA
Ayeyarwady,MMR017,Lemyethna,MMR017010,102992.95991876331,302,7,160,31207,4057.107311638337,0,NA,NA,NA,NA,NA,NA,NA,NA
Ayeyarwady,MMR017,Myanaung,MMR017011,218515.143772356,169,5,168,66210,8606.688498081088,0,NA,NA,NA,NA,NA,NA,NA,NA
Ayeyarwady,MMR017,Kyangin,MMR017012,96054.05117132452,251,8,233,29104,3784.430973441061,0,NA,NA,NA,NA,NA,NA,NA,NA
Ayeyarwady,MMR017,Ingapu,MMR017013,214319.40828568256,212,5,189,64939,8441.9585078309,0,NA,NA,NA,NA,NA,NA,NA,NA
Ayeyarwady,MMR017,Labutta,MMR017016,315123.0280291265,214,7,39,95482,12413.303933374356,0,NA,NA,NA,NA,NA,NA,NA,NA
Ayeyarwady,MMR017,Mawlamyinegyun,MMR017018,311246.19643100415,193,8,60,94308,12260.01232259513,0,NA,NA,NA,NA,NA,NA,NA,NA
Ayeyarwady,MMR017,Maubin,MMR017019,313998.3669801612,121,6,94,95142,12367.604337309436,0,NA,NA,NA,NA,NA,NA,NA,NA
Ayeyarwady,MMR017,Pantanaw,MMR017020,264516.27992181526,242,6,84,80148,10418.703742303838,0,NA,NA,NA,NA,NA,NA,NA,NA
Ayeyarwady,MMR017,Nyaungdon,MMR017021,215840.9497225939,194,6,115,65400,8502.024990500482,0,NA,NA,NA,NA,NA,NA,NA,NA
